user,company,tags,count
Eve,amazon,UnionFind,1
Eve,amazon,Design,1
Eve,amazon,SlidingWindow,1
Eve,amazon,BinarySearch,2
Eve,apple,Math,5
Eve,apple,String,6
Eve,apple,Array,14
Eve,apple,Breadth-firstSearch,2
Eve,apple,Depth-firstSearch,2
Eve,apple,Graph,1
Eve,apple,Sort,1
Eve,apple,TwoPointers,3
Eve,apple,LinkedList,2
Eve,apple,BitManipulation,1
Eve,apple,DynamicProgramming,6
Eve,apple,HashTable,2
Eve,apple,DivideandConquer,2
Eve,apple,Misc,1
Eve,apple,UnionFind,1
Eve,apple,Design,1
Eve,apple,SlidingWindow,1
Eve,apple,BinarySearch,2
Eve,bloomberg,Array,7
Eve,bloomberg,Breadth-firstSearch,1
Eve,bloomberg,Depth-firstSearch,1
Eve,bloomberg,UnionFind,1
Eve,bloomberg,HashTable,2
Eve,bloomberg,SlidingWindow,1
Eve,bloomberg,String,5
Eve,bloomberg,TwoPointers,2
Eve,bloomberg,LinkedList,2
Eve,bloomberg,Math,4
Eve,bloomberg,Design,1
Eve,bloomberg,DivideandConquer,2
Eve,bloomberg,DynamicProgramming,2
Eve,bloomberg,Misc,1
Eve,bloomberg,BinarySearch,1
Eve,facebook,Array,16
Eve,facebook,Math,5
Eve,facebook,String,6
Eve,facebook,Breadth-firstSearch,5
Eve,facebook,Depth-firstSearch,6
Eve,facebook,Graph,4
Eve,facebook,Sort,1
Eve,facebook,TwoPointers,3
Eve,facebook,LinkedList,2
Eve,facebook,TopologicalSort,2
Eve,facebook,Tree,1
Eve,facebook,Misc,2
Eve,facebook,HashTable,2
Eve,facebook,DivideandConquer,2
Eve,facebook,DynamicProgramming,3
Eve,facebook,UnionFind,1
Eve,facebook,Design,1
Eve,facebook,SlidingWindow,1
Eve,facebook,BinarySearch,2
Eve,google,Misc,3
Eve,google,Array,19
Eve,google,Math,7
Eve,google,String,8
Eve,google,Breadth-firstSearch,4
Eve,google,Depth-firstSearch,5
Eve,google,Graph,4
Eve,google,DynamicProgramming,6
Eve,google,Greedy,1
Eve,google,LinkedList,2
Eve,google,TopologicalSort,2
Eve,google,HashTable,2
Eve,google,DivideandConquer,2
Eve,google,UnionFind,1
Eve,google,Design,1
Eve,google,SlidingWindow,1
Eve,google,TwoPointers,2
Eve,google,Minimax,1
Eve,google,BinarySearch,2
Eve,linkedin,Array,5
Eve,linkedin,Breadth-firstSearch,1
Eve,linkedin,Depth-firstSearch,1
Eve,linkedin,UnionFind,1
Eve,linkedin,Math,1
Eve,linkedin,String,2
Eve,linkedin,HashTable,1
Eve,linkedin,Misc,1
Eve,linkedin,DivideandConquer,1
Eve,linkedin,DynamicProgramming,2
Eve,linkedin,BinarySearch,1
Eve,microsoft,Array,15
Eve,microsoft,Math,6
Eve,microsoft,String,7
Eve,microsoft,Sort,1
Eve,microsoft,TwoPointers,3
Eve,microsoft,LinkedList,2
Eve,microsoft,Breadth-firstSearch,3
Eve,microsoft,Depth-firstSearch,3
Eve,microsoft,Tree,1
Eve,microsoft,HashTable,2
Eve,microsoft,DivideandConquer,2
Eve,microsoft,DynamicProgramming,4
Eve,microsoft,Misc,1
Eve,microsoft,UnionFind,1
Eve,microsoft,Design,1
Eve,microsoft,Graph,1
Eve,microsoft,TopologicalSort,1
Eve,microsoft,SlidingWindow,1
Eve,microsoft,BinarySearch,1
Eve,microsoft,Greedy,1
Eve,uber,Array,14
Eve,uber,Math,4
Eve,uber,String,4
